timing_phase_id,node_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,mvmt_text_id,geometry
1,39,2,15,40,#N/A,6.6,5,14,NBT,0
1,39,4,15,20,#N/A,6.2,5,21,EBT,0
1,39,5,5,35,#N/A,4,,,NBL,0
1,39,6,15,50,#N/A,6.6,5,14,SBT,0
1,39,7,5,1,#N/A,4,,,EBL,0
1,39,8,15,30,#N/A,6.2,5,21,WBT,0
1,75,2,15,40,#N/A,6.6,5,14,NBT,0
1,75,4,15,20,#N/A,6.2,5,21,EBT,0
1,75,5,5,35,#N/A,4,,,NBL,0
1,75,6,15,50,#N/A,6.6,5,14,SBT,0
1,75,7,5,1,#N/A,4,,,EBL,0
1,75,8,15,30,#N/A,6.2,5,21,WBT,0
1,78,1,5,45,#N/A,4,,,SBL,0
1,78,2,15,40,#N/A,6.6,5,10,NBT,0
1,78,6,15,50,#N/A,6.6,5,0,SBT,0
1,78,8,10,30,1.5,4.9,5,24,WBL,0
1,80,1,5,45,#N/A,4,,,SBL,0
1,80,2,15,40,#N/A,6.4,5,9,NBT,0
1,80,6,15,50,#N/A,6.6,5,0,SBT,0
1,80,8,10,30,1.5,4.9,5,21,WBL,0
1,82,2,15,40,#N/A,6.4,5,9,NBT,0
1,82,4,0,0,0,0,0,0,,0
1,82,6,15,50,#N/A,6.6,5,0,SBT,0
1,82,8,10,30,1.5,4.9,5,21,WBL,0
1,84,1,5,45,#N/A,4,,,SBL,0
1,84,2,15,40,#N/A,6.9,5,21,NBT,0
1,84,4,15,20,#N/A,6.6,5,27,EBT,0
1,84,5,5,35,#N/A,4,,,NBL,0
1,84,6,15,50,#N/A,6.9,5,21,SBT,0
1,84,8,15,30,#N/A,6.6,5,27,WBT,0
1,87,2,15,40,#N/A,6.6,5,21,NBT,0
1,87,4,15,20,#N/A,6.6,5,21,EBT,0
1,87,5,5,35,#N/A,5,,,NBL,0
1,87,6,15,50,#N/A,6.6,5,21,SBT,0
1,87,7,5,1,#N/A,5,,,EBL,0
1,87,8,15,30,#N/A,6.6,5,21,WBT,0
1,98,2,15,40,#N/A,6.6,5,0,NBT,0
1,98,4,10,20,1.5,4.9,5,24,EBL,0
1,98,5,5,35,#N/A,4,,,NBL,0
1,98,6,15,50,#N/A,6.6,5,14,SBT,0
1,98,8,0,0,0,0,0,0,,0
